Site,Country,Climate,Year,Days,CompleteYear,AnnualRain_mm,AnnualET0_mm,MeanTemp_C,MeanTmax_C,MeanTmin_C,MeanSolar_MJ_m2_day,MeanWind_m_s,Rain_ET0_ratio
Tunis,Tunisia,Mediterranean,1981,365,False,306.54,0.0,18.528876712328767,23.963205479452053,14.24709589041096,,3.5798630136986302,
Tunis,Tunisia,Mediterranean,1982,365,False,674.5899999999999,0.0,18.932657534246577,24.12616438356164,14.736739726027396,,3.3113698630136987,
Tunis,Tunisia,Mediterranean,1983,365,False,334.78000000000003,0.0,18.679616438356163,24.11764383561644,14.298493150684932,,3.45386301369863,
Tunis,Tunisia,Mediterranean,1984,366,True,441.4,1477.5126152805587,18.12737704918033,23.552704918032788,13.737513661202186,16.071366120218578,3.3452732240437157,0.29874533417515653
Tunis,Tunisia,Mediterranean,1985,365,True,399.05,1435.0781663380367,18.592767123287672,24.020191780821914,14.25158904109589,16.202904109589042,3.1396438356164382,0.2780684769375849
Tunis,Tunisia,Mediterranean,1986,365,True,565.71,1469.9535473350766,18.6773698630137,23.871643835616442,14.506767123287672,15.756438356164383,3.523068493150685,0.3848488960930724
Tunis,Tunisia,Mediterranean,1987,365,True,314.63,1481.1477938731086,19.00408219178082,24.475068493150683,14.68178082191781,15.329150684931506,3.3932054794520545,0.21242309599453427
Tunis,Tunisia,Mediterranean,1988,366,True,311.74,1539.0441600559495,19.325519125683062,24.748032786885247,14.986967213114752,15.89398907103825,3.472103825136612,0.20255429187208454
Tunis,Tunisia,Mediterranean,1989,365,True,337.58000000000004,1470.6957948471063,18.968602739726027,24.464164383561645,14.678465753424655,16.234027397260274,3.1920821917808224,0.22953761150523647
Tunis,Tunisia,Mediterranean,1990,365,True,583.5,1434.8930445209053,19.076027397260273,24.22131506849315,14.998684931506848,16.19517808219178,3.2135890410958905,0.4066505181191565
Tunis,Tunisia,Mediterranean,1991,365,True,507.65999999999997,1377.6165573513356,18.043397260273974,23.04413698630137,13.964383561643835,16.185342465753422,3.3545205479452056,0.368506023893941
Tunis,Tunisia,Mediterranean,1992,366,True,512.8,1384.3541006658752,18.30237704918033,23.492267759562843,14.089125683060107,16.34431693989071,3.266967213114754,0.37042545671901633
Tunis,Tunisia,Mediterranean,1993,365,True,300.81000000000006,1543.415644275807,18.762821917808218,24.1738904109589,14.402136986301372,16.780356164383562,3.439753424657535,0.19489889267070665
Tunis,Tunisia,Mediterranean,1994,365,True,254.84999999999997,1606.222039030795,19.750986301369863,25.23687671232877,15.365643835616439,17.12764383561644,3.5164383561643837,0.15866424056401202
Tunis,Tunisia,Mediterranean,1995,365,True,422.45,1495.7852604104903,18.77186301369863,24.02778082191781,14.592794520547942,16.433890410958906,3.510739726027397,0.2824269039020123
Tunis,Tunisia,Mediterranean,1996,366,True,503.76,1416.9840915801547,18.23893442622951,23.38262295081967,14.103633879781421,16.171967213114755,3.5122131147540983,0.35551563563302274
Tunis,Tunisia,Mediterranean,1997,365,True,562.28,1475.650832047139,19.075479452054793,24.40904109589041,14.854109589041096,16.46301369863014,3.387342465753424,0.3810386493801931
Tunis,Tunisia,Mediterranean,1998,365,True,403.56999999999994,1502.9490979796938,18.541726027397264,23.885616438356163,14.269369863013697,17.13660273972603,3.427917808219178,0.26851874128171743
Tunis,Tunisia,Mediterranean,1999,365,True,504.93,1555.6476408962708,19.20994520547945,24.62416438356164,14.871808219178085,16.79046575342466,3.5539726027397256,0.3245786428275555
Tunis,Tunisia,Mediterranean,2000,366,True,318.83,1586.5759131852403,19.021174863387976,24.68975409836066,14.566693989071037,17.10306010928962,3.5039344262295082,0.20095477143599813
Tunis,Tunisia,Mediterranean,2001,365,True,340.11,1564.7606683965569,19.24832876712329,24.75649315068493,14.86454794520548,17.009945205479454,3.4832602739726024,0.21735592341320661
Tunis,Tunisia,Mediterranean,2002,365,True,467.82000000000005,1527.059379725747,18.885671232876714,24.39295890410959,14.581835616438356,16.546849315068492,3.5918630136986303,0.30635350937303985
Tunis,Tunisia,Mediterranean,2003,365,True,848.04,1434.1682716429364,19.037616438356164,24.003917808219175,15.01284931506849,16.409150684931507,3.4215068493150684,0.5913113661540658
Tunis,Tunisia,Mediterranean,2004,366,True,631.74,1370.5291565046737,18.273934426229506,23.32928961748634,14.200628415300544,16.35084699453552,3.355027322404372,0.4609460491969079
Tunis,Tunisia,Mediterranean,2005,365,True,556.48,1408.4858492393303,18.241835616438355,23.37282191780822,14.13490410958904,16.431534246575342,3.407315068493151,0.39509094131157496
Tunis,Tunisia,Mediterranean,2006,365,True,447.38,1489.021175202066,18.90991780821918,24.339315068493153,14.615917808219182,16.76380821917808,3.284958904109589,0.3004524095765722
Tunis,Tunisia,Mediterranean,2007,365,True,575.3000000000001,1462.41403064087,18.71909589041096,23.871397260273966,14.66246575342466,16.707616438356165,3.463890410958904,0.393390645840486
Tunis,Tunisia,Mediterranean,2008,366,True,379.2,1497.3139648730062,18.73245901639344,24.258879781420767,14.322568306010927,16.943797814207652,3.2204918032786884,0.2532534985287215
Tunis,Tunisia,Mediterranean,2009,365,True,676.2199999999999,1453.9731728780498,18.545698630136986,23.71345205479452,14.352986301369864,16.85578082191781,3.5262739726027394,0.46508423443705244
Tunis,Tunisia,Mediterranean,2010,365,True,534.4,1493.264609399688,18.504164383561644,23.792410958904107,14.295890410958904,16.623479452054795,3.5778630136986305,0.3578736123766007
Tunis,Tunisia,Mediterranean,2011,365,True,628.13,1435.749019340437,18.48249315068493,23.554986301369862,14.422849315068493,16.87827397260274,3.393643835616438,0.43749289850711803
Tunis,Tunisia,Mediterranean,2012,366,True,522.49,1528.798538569597,19.06169398907104,24.317650273224043,14.801912568306012,17.202103825136614,3.518169398907104,0.34176510954076517
Tunis,Tunisia,Mediterranean,2013,365,True,559.29,1469.4745946405953,18.586027397260274,23.694027397260275,14.553260273972601,16.873808219178084,3.6496164383561642,0.38060542321712704
Tunis,Tunisia,Mediterranean,2014,365,True,501.0499999999999,1559.072667384676,19.079260273972604,24.57621917808219,14.756575342465753,16.83939726027397,3.5523561643835615,0.3213769380233602
Tunis,Tunisia,Mediterranean,2015,365,True,594.48,1512.0341200704956,19.009232876712332,24.26254794520548,14.794630136986301,17.079315068493152,3.5073424657534247,0.39316573092430185
Tunis,Tunisia,Mediterranean,2016,366,True,510.29,1526.928364636642,19.22002732240437,24.59032786885246,15.005300546448089,16.903169398907103,3.3882240437158475,0.33419380490808553
Tunis,Tunisia,Mediterranean,2017,365,True,409.32,1615.133303902355,19.01213698630137,24.55449315068493,14.503506849315068,17.66180821917808,3.4341643835616438,0.253427998178871
Tunis,Tunisia,Mediterranean,2018,365,True,720.62,1420.6333490658571,18.87682191780822,23.94909589041096,14.868602739726027,16.38701369863014,3.4594520547945207,0.5072526281843562
