Site,Country,Climate,Year,SeasonRain_mm,SeasonET0_mm,SeasonMeanTemp_C,SeasonRain_ET0_ratio
Tunis,Tunisia,Mediterranean,1981,97.2,0.0,23.672391304347826,
Tunis,Tunisia,Mediterranean,1982,176.37,0.0,24.624402173913044,
Tunis,Tunisia,Mediterranean,1983,151.19,0.0,23.991249999999997,
Tunis,Tunisia,Mediterranean,1984,132.09,1049.0637506338812,23.064239130434782,0.12591227169958602
Tunis,Tunisia,Mediterranean,1985,133.84999999999997,1013.6819977523601,23.656141304347823,0.1320433827342164
Tunis,Tunisia,Mediterranean,1986,236.32999999999998,1020.9486030614686,24.06429347826087,0.23148080059204623
Tunis,Tunisia,Mediterranean,1987,97.44,1043.3947222516395,24.54907608695652,0.0933874763998471
Tunis,Tunisia,Mediterranean,1988,124.52000000000001,1052.9497076457615,24.601467391304347,0.11825825972107268
Tunis,Tunisia,Mediterranean,1989,147.83,1002.4916214664988,23.574456521739133,0.14746257907247776
Tunis,Tunisia,Mediterranean,1990,188.38,991.2842531740605,24.272499999999997,0.19003630835132632
Tunis,Tunisia,Mediterranean,1991,153.53,977.306362431913,23.15125,0.15709505831718776
Tunis,Tunisia,Mediterranean,1992,179.05,969.9656300566443,23.34282608695652,0.18459416957850744
Tunis,Tunisia,Mediterranean,1993,140.64,1094.8520028420949,24.157663043478262,0.12845571788234086
Tunis,Tunisia,Mediterranean,1994,101.35999999999999,1135.0382042608503,25.243913043478262,0.08930095887477793
Tunis,Tunisia,Mediterranean,1995,233.89999999999998,1004.7748173663418,23.769076086956524,0.23278847753478263
Tunis,Tunisia,Mediterranean,1996,167.98000000000002,968.1516054309386,22.824673913043476,0.17350588384887264
Tunis,Tunisia,Mediterranean,1997,299.43,1027.6121877482783,24.280706521739127,0.2913842435599331
Tunis,Tunisia,Mediterranean,1998,191.06,1057.8709146621877,23.784565217391307,0.18060804711793368
Tunis,Tunisia,Mediterranean,1999,115.82,1114.5826873363465,25.223858695652176,0.10391333125475788
Tunis,Tunisia,Mediterranean,2000,167.45,1098.538454480767,24.23255434782608,0.15242980281390928
Tunis,Tunisia,Mediterranean,2001,136.62,1072.7888407155265,24.39195652173913,0.12735031798883878
Tunis,Tunisia,Mediterranean,2002,225.01999999999998,1047.8885394302424,23.72125,0.21473657887540956
Tunis,Tunisia,Mediterranean,2003,243.71,1045.2107968587327,25.023206521739134,0.23316827642083673
Tunis,Tunisia,Mediterranean,2004,241.4,986.732057610604,23.427880434782605,0.24464594834848688
Tunis,Tunisia,Mediterranean,2005,150.57999999999998,1010.5383817034553,23.977826086956522,0.1490096791238831
Tunis,Tunisia,Mediterranean,2006,157.36,1056.9122373535868,24.31673913043478,0.14888653422541054
Tunis,Tunisia,Mediterranean,2007,207.26000000000002,1051.400464873951,23.85896739130435,0.1971275521785581
Tunis,Tunisia,Mediterranean,2008,196.99,1040.7973837641844,24.22934782608696,0.1892683466281968
Tunis,Tunisia,Mediterranean,2009,191.08,1028.3064773939423,23.96195652173913,0.18582008788299953
Tunis,Tunisia,Mediterranean,2010,188.16,1040.2085012132686,23.367173913043477,0.18088681238476295
Tunis,Tunisia,Mediterranean,2011,229.64999999999998,1037.0497965634927,23.65891304347826,0.22144548965825847
Tunis,Tunisia,Mediterranean,2012,194.35999999999999,1092.9647998664902,24.81945652173913,0.177828233831265
