MinTemp,MaxTemp,Precipitation,ReferenceET,Date
23.5,29.81,0.02,,1981-01-01
23.49,29.37,0.32,,1981-01-02
22.29,29.33,0.3,,1981-01-03
23.79,29.2,0.4,,1981-01-04
23.7,29.22,0.58,,1981-01-05
22.7,29.36,1.35,,1981-01-06
22.79,29.22,0.93,,1981-01-07
22.97,28.98,1.22,,1981-01-08
23.53,28.87,1.12,,1981-01-09
23.74,29.24,1.38,,1981-01-10
23.62,29.25,2.38,,1981-01-11
24.28,28.99,0.85,,1981-01-12
23.75,29.31,0.29,,1981-01-13
23.86,29.51,0.52,,1981-01-14
23.94,29.69,0.95,,1981-01-15
23.46,30.24,0.0,,1981-01-16
23.85,29.88,0.0,,1981-01-17
23.45,30.29,0.0,,1981-01-18
23.58,30.41,0.0,,1981-01-19
24.12,29.53,0.0,,1981-01-20
24.12,29.63,0.0,,1981-01-21
23.91,29.5,0.0,,1981-01-22
24.05,30.19,0.0,,1981-01-23
20.68,30.37,0.0,,1981-01-24
21.21,30.32,0.0,,1981-01-25
24.04,28.47,1.17,,1981-01-26
23.34,29.29,1.29,,1981-01-27
23.41,28.65,0.86,,1981-01-28
23.69,29.62,0.0,,1981-01-29
24.11,29.07,0.0,,1981-01-30
24.04,29.79,0.0,,1981-01-31
24.05,30.19,0.0,,1981-02-01
23.87,30.84,0.0,,1981-02-02
24.4,29.82,0.0,,1981-02-03
24.03,30.77,0.0,,1981-02-04
24.16,30.78,0.09,,1981-02-05
24.48,30.03,0.15,,1981-02-06
24.66,29.25,0.44,,1981-02-07
24.31,30.41,0.6,,1981-02-08
24.44,30.03,0.58,,1981-02-09
24.11,30.51,0.32,,1981-02-10
23.94,30.98,0.01,,1981-02-11
24.0,31.44,0.02,,1981-02-12
24.16,31.23,0.02,,1981-02-13
24.18,31.7,0.13,,1981-02-14
24.65,31.41,0.02,,1981-02-15
25.17,30.97,0.01,,1981-02-16
24.96,31.29,0.0,,1981-02-17
25.22,30.83,0.01,,1981-02-18
25.13,30.45,0.02,,1981-02-19
25.46,30.31,0.0,,1981-02-20
25.73,29.55,0.0,,1981-02-21
25.75,30.16,0.0,,1981-02-22
25.88,29.95,0.0,,1981-02-23
25.52,30.07,0.0,,1981-02-24
24.81,30.68,0.0,,1981-02-25
25.09,30.81,0.0,,1981-02-26
25.28,31.11,0.0,,1981-02-27
25.49,31.33,0.0,,1981-02-28
25.56,31.36,0.0,,1981-03-01
25.73,30.84,0.1,,1981-03-02
26.08,30.47,0.12,,1981-03-03
25.39,31.4,0.14,,1981-03-04
25.62,31.05,0.06,,1981-03-05
24.98,31.67,0.03,,1981-03-06
25.28,31.8,0.92,,1981-03-07
25.46,31.03,1.55,,1981-03-08
25.45,31.05,2.66,,1981-03-09
25.62,31.23,2.17,,1981-03-10
25.46,30.7,2.24,,1981-03-11
25.57,29.69,2.7,,1981-03-12
24.86,29.3,2.03,,1981-03-13
24.61,30.72,1.44,,1981-03-14
25.24,27.81,2.01,,1981-03-15
24.8,30.53,3.63,,1981-03-16
26.03,28.89,0.48,,1981-03-17
25.17,28.69,0.56,,1981-03-18
25.47,29.86,0.83,,1981-03-19
25.06,30.74,0.26,,1981-03-20
25.5,30.68,0.62,,1981-03-21
26.08,30.22,8.65,,1981-03-22
25.32,31.32,6.57,,1981-03-23
25.44,30.22,9.77,,1981-03-24
25.15,30.56,3.01,,1981-03-25
25.54,30.35,2.65,,1981-03-26
25.16,29.01,7.54,,1981-03-27
23.85,28.07,5.29,,1981-03-28
24.26,30.22,2.02,,1981-03-29
24.69,30.49,5.05,,1981-03-30
25.11,29.74,5.84,,1981-03-31
25.49,28.63,5.35,,1981-04-01
24.94,30.01,1.49,,1981-04-02
24.75,30.05,5.37,,1981-04-03
25.08,29.72,4.03,,1981-04-04
25.45,28.75,15.46,,1981-04-05
25.32,29.29,6.58,,1981-04-06
25.34,30.19,2.89,,1981-04-07
25.56,30.3,3.56,,1981-04-08
25.89,29.34,2.57,,1981-04-09
26.06,30.53,1.36,,1981-04-10
25.78,30.59,0.0,,1981-04-11
25.36,30.83,0.0,,1981-04-12
25.59,31.2,0.0,,1981-04-13
25.54,31.29,0.0,,1981-04-14
25.7,31.02,0.0,,1981-04-15
25.72,30.47,8.28,,1981-04-16
26.1,30.21,5.88,,1981-04-17
25.74,30.68,6.44,,1981-04-18
26.03,28.51,11.1,,1981-04-19
25.35,28.42,7.86,,1981-04-20
25.82,28.74,3.79,,1981-04-21
25.28,28.26,8.87,,1981-04-22
24.64,29.11,2.91,,1981-04-23
24.83,30.05,0.99,,1981-04-24
24.75,30.86,0.66,,1981-04-25
25.17,27.36,1.31,,1981-04-26
24.94,29.31,1.61,,1981-04-27
24.73,30.09,0.63,,1981-04-28
24.84,29.26,1.5,,1981-04-29
25.28,29.29,0.84,,1981-04-30
25.22,28.85,8.95,,1981-05-01
24.91,27.32,10.44,,1981-05-02
24.72,29.63,6.38,,1981-05-03
24.44,27.94,7.11,,1981-05-04
