Date,T2M_MAX,T2M_MIN,T2M,T2MDEW,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,PS,ReferenceET,Ra,EstimatedElevation_m
1981-01-01,29.81,23.5,26.34,22.95,0.02,,1.47,100.68,,32.92370196102563,46.79956469695558
1981-01-02,29.37,23.49,26.24,22.31,0.32,,2.02,100.69,,32.953658376004945,46.79956469695558
1981-01-03,29.33,22.29,25.51,22.14,0.3,,2.03,100.75,,32.98571976639565,46.79956469695558
1981-01-04,29.2,23.79,26.16,22.29,0.4,,1.52,100.81,,33.01985752290265,46.79956469695558
1981-01-05,29.22,23.7,26.1,20.84,0.58,,1.37,100.78,,33.05604097410103,46.79956469695558
1981-01-06,29.36,22.7,25.69,21.51,1.35,,1.22,100.78,,33.09423741469563,46.79956469695558
1981-01-07,29.22,22.79,25.7,21.73,0.93,,1.46,100.73,,33.134412135895865,46.79956469695558
1981-01-08,28.98,22.97,25.67,22.07,1.22,,1.67,100.73,,33.17652845789813,46.79956469695558
1981-01-09,28.87,23.53,26.0,22.63,1.12,,1.75,100.77,,33.22054776446674,46.79956469695558
1981-01-10,29.24,23.74,26.02,22.5,1.38,,1.67,100.79,,33.26642953960286,46.79956469695558
1981-01-11,29.25,23.62,26.06,22.61,2.38,,1.47,100.7,,33.314131406289135,46.79956469695558
1981-01-12,28.99,24.28,26.13,22.72,0.85,,1.36,100.73,,33.363609167295294,46.79956469695558
1981-01-13,29.31,23.75,26.15,22.42,0.29,,1.19,100.7,,33.41481684802869,46.79956469695558
1981-01-14,29.51,23.86,26.29,23.0,0.52,,1.77,100.71,,33.4677067414111,46.79956469695558
1981-01-15,29.69,23.94,26.43,23.31,0.95,,1.52,100.75,,33.52222945476078,46.79956469695558
1981-01-16,30.24,23.46,26.43,23.3,0.0,,1.68,100.68,,33.578333958656614,46.79956469695558
1981-01-17,29.88,23.85,26.25,23.27,0.0,,1.99,100.72,,33.63596763775836,46.79956469695558
1981-01-18,30.29,23.45,26.42,23.0,0.0,,2.01,100.68,,33.695076343554454,46.79956469695558
1981-01-19,30.41,23.58,26.67,23.19,0.0,,1.99,100.6,,33.7556044490059,46.79956469695558
1981-01-20,29.53,24.12,26.48,23.27,0.0,,2.52,100.64,,33.81749490505195,46.79956469695558
1981-01-21,29.63,24.12,26.53,22.41,0.0,,1.97,100.73,,33.88068929894039,46.79956469695558
1981-01-22,29.5,23.91,26.42,22.58,0.0,,2.5,100.75,,33.945127914341555,46.79956469695558
1981-01-23,30.19,24.05,26.89,22.92,0.0,,2.6,100.61,,34.01074979320282,46.79956469695558
1981-01-24,30.37,20.68,25.53,17.17,0.0,,1.85,100.55,,34.077492799296216,46.79956469695558
1981-01-25,30.32,21.21,25.63,20.42,0.0,,1.64,100.66,,34.14529368340899,46.79956469695558
1981-01-26,28.47,24.04,25.82,22.14,1.17,,1.99,100.89,,34.21408815012319,46.79956469695558
1981-01-27,29.29,23.34,26.06,21.35,1.29,,1.55,100.98,,34.28381092612703,46.79956469695558
1981-01-28,28.65,23.41,25.75,21.37,0.86,,1.72,101.03,,34.35439582999722,46.79956469695558
1981-01-29,29.62,23.69,26.07,21.8,0.0,,1.6,100.95,,34.4257758433877,46.79956469695558
1981-01-30,29.07,24.11,26.13,21.69,0.0,,1.68,100.85,,34.49788318355708,46.79956469695558
1981-01-31,29.79,24.04,26.57,21.81,0.0,,1.54,100.82,,34.57064937716305,46.79956469695558
1981-02-01,30.19,24.05,26.9,22.5,0.0,,1.31,100.81,,34.644005335248764,46.79956469695558
1981-02-02,30.84,23.87,27.02,22.62,0.0,,1.46,100.74,,34.71788142934256,46.79956469695558
1981-02-03,29.82,24.4,26.62,23.12,0.0,,1.92,100.72,,34.79220756858886,46.79956469695558
1981-02-04,30.77,24.03,27.03,22.71,0.0,,1.72,100.67,,34.8669132778248,46.79956469695558
1981-02-05,30.78,24.16,27.08,23.01,0.09,,2.04,100.66,,34.9419277765135,46.79956469695558
1981-02-06,30.03,24.48,26.84,23.43,0.15,,2.14,100.81,,35.017180058441944,46.79956469695558
1981-02-07,29.25,24.66,26.68,23.5,0.44,,2.14,100.83,,35.09259897208796,46.79956469695558
1981-02-08,30.41,24.31,27.06,23.56,0.6,,2.21,100.8,,35.16811330155795,46.79956469695558
1981-02-09,30.03,24.44,26.8,23.09,0.58,,1.91,100.78,,35.243651847993824,46.79956469695558
1981-02-10,30.51,24.11,26.83,21.94,0.32,,1.34,100.74,,35.3191435113451,46.79956469695558
1981-02-11,30.98,23.94,26.88,21.1,0.01,,1.55,100.72,,35.3945173723993,46.79956469695558
1981-02-12,31.44,24.0,27.03,21.12,0.02,,1.59,100.61,,35.46970277496117,46.79956469695558
