MinTemp,MaxTemp,Precipitation,ReferenceET,Date
15.22,31.36,0.0,,1981-01-01
13.83,30.57,0.0,,1981-01-02
12.84,28.05,0.0,,1981-01-03
12.43,28.02,0.0,,1981-01-04
12.11,28.5,0.0,,1981-01-05
12.03,28.97,0.0,,1981-01-06
12.04,29.39,0.0,,1981-01-07
12.62,29.66,0.0,,1981-01-08
12.37,30.46,0.0,,1981-01-09
12.4,30.79,0.0,,1981-01-10
12.72,30.1,0.0,,1981-01-11
12.87,31.22,0.0,,1981-01-12
12.91,31.99,0.0,,1981-01-13
15.93,33.46,0.0,,1981-01-14
16.39,32.54,0.0,,1981-01-15
15.31,30.93,0.0,,1981-01-16
14.41,31.35,0.0,,1981-01-17
14.64,32.11,0.0,,1981-01-18
13.92,31.58,0.0,,1981-01-19
13.86,32.0,0.0,,1981-01-20
14.13,31.05,0.0,,1981-01-21
13.23,30.79,0.0,,1981-01-22
12.24,30.84,0.0,,1981-01-23
13.57,30.35,0.0,,1981-01-24
12.43,30.69,0.0,,1981-01-25
14.04,30.29,0.0,,1981-01-26
15.1,30.41,0.0,,1981-01-27
13.74,30.34,0.0,,1981-01-28
13.94,31.11,0.0,,1981-01-29
13.81,31.34,0.0,,1981-01-30
14.02,31.63,0.0,,1981-01-31
15.65,32.24,0.0,,1981-02-01
14.91,32.41,0.0,,1981-02-02
16.37,33.75,0.0,,1981-02-03
17.26,33.85,0.0,,1981-02-04
18.16,35.59,0.0,,1981-02-05
18.3,35.88,0.0,,1981-02-06
17.57,35.83,0.0,,1981-02-07
17.82,34.37,0.0,,1981-02-08
16.54,31.67,0.0,,1981-02-09
14.29,30.66,0.0,,1981-02-10
15.28,31.5,0.0,,1981-02-11
15.44,33.12,0.0,,1981-02-12
17.06,35.81,0.0,,1981-02-13
20.28,37.23,0.0,,1981-02-14
19.25,37.32,0.0,,1981-02-15
18.1,37.57,0.0,,1981-02-16
18.44,37.99,0.0,,1981-02-17
19.14,37.25,0.0,,1981-02-18
18.67,36.15,0.0,,1981-02-19
17.24,36.83,0.0,,1981-02-20
17.9,37.49,0.0,,1981-02-21
17.44,34.98,0.0,,1981-02-22
17.21,34.91,0.0,,1981-02-23
16.66,35.37,0.0,,1981-02-24
18.82,36.73,0.0,,1981-02-25
19.45,37.14,0.0,,1981-02-26
18.39,36.73,0.0,,1981-02-27
18.39,37.68,0.0,,1981-02-28
20.31,38.8,0.0,,1981-03-01
21.62,39.89,0.0,,1981-03-02
21.96,40.62,0.0,,1981-03-03
20.07,39.26,0.0,,1981-03-04
23.85,39.57,0.03,,1981-03-05
24.47,38.58,0.06,,1981-03-06
24.1,38.97,0.0,,1981-03-07
20.56,40.34,0.0,,1981-03-08
22.35,38.62,0.0,,1981-03-09
23.38,35.23,0.01,,1981-03-10
21.49,33.53,0.0,,1981-03-11
21.38,33.23,0.0,,1981-03-12
20.24,32.41,0.0,,1981-03-13
18.84,34.85,0.0,,1981-03-14
20.08,37.55,0.0,,1981-03-15
23.71,38.16,0.0,,1981-03-16
25.5,38.38,0.0,,1981-03-17
23.95,39.73,0.0,,1981-03-18
23.78,37.83,0.0,,1981-03-19
22.64,39.37,0.0,,1981-03-20
22.97,40.7,0.0,,1981-03-21
24.19,38.54,0.0,,1981-03-22
23.76,39.61,0.0,,1981-03-23
23.09,39.51,0.0,,1981-03-24
23.43,39.41,0.0,,1981-03-25
26.17,38.51,0.06,,1981-03-26
