Date,T2M_MAX,T2M_MIN,T2M,T2MDEW,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,PS,ReferenceET,Ra,EstimatedElevation_m
1981-01-01,31.36,15.22,22.36,-1.28,0.0,,3.37,98.5,,29.375007664445558,258.1077831204352
1981-01-02,30.57,13.83,21.25,-2.85,0.0,,3.15,98.46,,29.413453539503088,258.1077831204352
1981-01-03,28.05,12.84,19.66,-1.07,0.0,,3.73,98.58,,29.45474278020553,258.1077831204352
1981-01-04,28.02,12.43,19.52,0.75,0.0,,3.41,98.65,,29.49884686852951,258.1077831204352
1981-01-05,28.5,12.11,19.44,-1.12,0.0,,3.35,98.63,,29.545735174429073,258.1077831204352
1981-01-06,28.97,12.03,19.64,-1.08,0.0,,3.61,98.6,,29.59537497724865,258.1077831204352
1981-01-07,29.39,12.04,19.66,-0.95,0.0,,2.95,98.5,,29.64773148889012,258.1077831204352
1981-01-08,29.66,12.62,20.31,-0.64,0.0,,2.76,98.52,,29.70276787874788,258.1077831204352
1981-01-09,30.46,12.37,20.45,-3.36,0.0,,3.35,98.53,,29.76044530042634,258.1077831204352
1981-01-10,30.79,12.4,20.54,-4.55,0.0,,3.13,98.52,,29.82072292025295,258.1077831204352
1981-01-11,30.1,12.72,20.3,-4.42,0.0,,3.21,98.47,,29.883557947599222,258.1077831204352
1981-01-12,31.22,12.87,21.06,-5.27,0.0,,2.83,98.48,,29.94890566702098,258.1077831204352
1981-01-13,31.99,12.91,21.58,-5.22,0.0,,2.7,98.41,,30.0167194722277,258.1077831204352
1981-01-14,33.46,15.93,23.63,-0.77,0.0,,1.96,98.37,,30.086950901889388,258.1077831204352
1981-01-15,32.54,16.39,23.6,-1.14,0.0,,3.45,98.47,,30.159549677287323,258.1077831204352
1981-01-16,30.93,15.31,22.16,-1.11,0.0,,3.19,98.47,,30.234463741813478,258.1077831204352
1981-01-17,31.35,14.41,22.15,-0.39,0.0,,2.71,98.44,,30.311639302320607,258.1077831204352
1981-01-18,32.11,14.64,22.4,-2.19,0.0,,2.86,98.38,,30.391020872323214,258.1077831204352
1981-01-19,31.58,13.92,22.04,-3.7,0.0,,3.55,98.37,,30.47255131704637,258.1077831204352
1981-01-20,32.0,13.86,22.07,-2.84,0.0,,3.77,98.45,,30.55617190031697,258.1077831204352
1981-01-21,31.05,14.13,21.7,-2.02,0.0,,3.29,98.56,,30.641822333288886,258.1077831204352
1981-01-22,30.79,13.23,21.27,-4.02,0.0,,2.6,98.47,,30.72944082499002,258.1077831204352
1981-01-23,30.84,12.24,21.04,-4.37,0.0,,2.35,98.33,,30.818964134676264,258.1077831204352
1981-01-24,30.35,13.57,20.98,-2.06,0.0,,2.64,98.25,,30.91032762597369,258.1077831204352
1981-01-25,30.69,12.43,21.05,-3.04,0.0,,2.86,98.42,,31.003465322786496,258.1077831204352
1981-01-26,30.29,14.04,21.31,-3.18,0.0,,3.94,98.68,,31.098309966944672,258.1077831204352
1981-01-27,30.41,15.1,21.8,-4.07,0.0,,3.87,98.79,,31.194793077561158,258.1077831204352
1981-01-28,30.34,13.74,21.16,-4.17,0.0,,3.26,98.81,,31.292845012064454,258.1077831204352
1981-01-29,31.11,13.94,21.71,-5.67,0.0,,3.1,98.7,,31.39239502886833,258.1077831204352
1981-01-30,31.34,13.81,21.97,-5.75,0.0,,3.37,98.59,,31.493371351636178,258.1077831204352
1981-01-31,31.63,14.02,22.15,-3.43,0.0,,3.42,98.58,,31.595701235093234,258.1077831204352
1981-02-01,32.24,15.65,22.98,-2.73,0.0,,3.32,98.58,,31.69931103233559,258.1077831204352
1981-02-02,32.41,14.91,22.96,-2.47,0.0,,3.66,98.57,,31.804126263580518,258.1077831204352
1981-02-03,33.75,16.37,24.33,-0.22,0.0,,3.99,98.47,,31.910071686298327,258.1077831204352
1981-02-04,33.85,17.26,24.77,0.74,0.0,,3.94,98.43,,32.01707136666169,258.1077831204352
1981-02-05,35.59,18.16,26.04,2.68,0.0,,3.3,98.37,,32.12504875224373,258.1077831204352
1981-02-06,35.88,18.3,26.36,0.69,0.0,,3.91,98.48,,32.233926745892255,258.1077831204352
1981-02-07,35.83,17.57,25.81,-0.66,0.0,,3.45,98.5,,32.34362778070318,258.1077831204352
1981-02-08,34.37,17.82,25.26,-0.21,0.0,,3.7,98.51,,32.454073896011636,258.1077831204352
1981-02-09,31.67,16.54,23.01,-4.02,0.0,,4.07,98.61,,32.56518681431591,258.1077831204352
1981-02-10,30.66,14.29,21.85,-4.8,0.0,,3.45,98.58,,32.67688801904469,258.1077831204352
1981-02-11,31.5,15.28,22.55,-3.96,0.0,,3.74,98.5,,32.78909883307475,258.1077831204352
1981-02-12,33.12,15.44,23.78,-2.78,0.0,,3.12,98.25,,32.90174049790237,258.1077831204352
1981-02-13,35.81,17.06,26.17,1.89,0.0,,1.92,98.1,,33.014734253368,258.1077831204352
1981-02-14,37.23,20.28,27.73,0.64,0.0,,2.83,98.15,,33.12800141783092,258.1077831204352
1981-02-15,37.32,19.25,27.15,-1.88,0.0,,2.85,98.16,,33.241463468686874,258.1077831204352
1981-02-16,37.57,18.1,27.09,-3.26,0.0,,2.01,98.14,,33.3550421231191,258.1077831204352
1981-02-17,37.99,18.44,27.52,-3.02,0.0,,1.8,98.04,,33.468659418970226,258.1077831204352
1981-02-18,37.25,19.14,27.41,3.5,0.0,,2.89,98.03,,33.58223779562036,258.1077831204352
1981-02-19,36.15,18.67,26.72,-0.79,0.0,,3.0,98.04,,33.69570017475382,258.1077831204352
1981-02-20,36.83,17.24,26.61,-1.31,0.0,,2.33,98.06,,33.80897004089573,258.1077831204352
1981-02-21,37.49,17.9,26.98,-3.26,0.0,,3.28,98.1,,33.921971521597484,258.1077831204352
1981-02-22,34.98,17.44,25.58,-7.05,0.0,,3.84,98.07,,34.03462946714873,258.1077831204352
1981-02-23,34.91,17.21,25.27,-5.99,0.0,,3.29,98.05,,34.14686952969257,258.1077831204352
1981-02-24,35.37,16.66,25.36,-5.29,0.0,,2.84,98.22,,34.25861824161971,258.1077831204352
1981-02-25,36.73,18.82,26.87,-4.29,0.0,,2.7,98.26,,34.36980309311673,258.1077831204352
1981-02-26,37.14,19.45,27.41,-4.0,0.0,,3.71,98.29,,34.48035260874353,258.1077831204352
1981-02-27,36.73,18.39,26.73,-4.03,0.0,,3.37,98.22,,34.590196422915106,258.1077831204352
1981-02-28,37.68,18.39,27.74,-3.62,0.0,,3.05,98.21,,34.69926535416304,258.1077831204352
1981-03-01,38.8,20.31,29.04,-4.01,0.0,,2.94,98.12,,34.807491478053244,258.1077831204352
1981-03-02,39.89,21.62,30.14,-3.2,0.0,,2.26,98.08,,34.91480819863711,258.1077831204352
1981-03-03,40.62,21.96,30.73,-2.49,0.0,,2.13,98.01,,35.02115031831505,258.1077831204352
1981-03-04,39.26,20.07,29.82,-0.92,0.0,,1.87,98.02,,35.126454105992835,258.1077831204352
1981-03-05,39.57,23.85,31.39,1.89,0.03,,1.53,98.0,,35.23065736341335,258.1077831204352
1981-03-06,38.58,24.47,31.08,5.71,0.06,,1.48,98.13,,35.33369948954886,258.1077831204352
1981-03-07,38.97,24.1,31.47,-1.12,0.0,,1.37,98.16,,35.43552154294134,258.1077831204352
1981-03-08,40.34,20.56,30.21,-1.87,0.0,,2.54,98.11,,35.536066301881654,258.1077831204352
1981-03-09,38.62,22.35,29.89,-0.34,0.0,,2.09,98.13,,35.63527832232174,258.1077831204352
1981-03-10,35.23,23.38,28.68,8.13,0.01,,1.97,98.21,,35.73310399341717,258.1077831204352
1981-03-11,33.53,21.49,27.3,-0.3,0.0,,3.67,98.35,,35.829491590602025,258.1077831204352
1981-03-12,33.23,21.38,26.45,0.31,0.0,,3.18,98.37,,35.924391326101656,258.1077831204352
1981-03-13,32.41,20.24,25.62,-0.37,0.0,,2.19,98.31,,36.01775539679359,258.1077831204352
1981-03-14,34.85,18.84,26.8,0.35,0.0,,1.68,98.26,,36.10953802933158,258.1077831204352
1981-03-15,37.55,20.08,28.94,1.63,0.0,,1.62,98.3,,36.19969552245282,258.1077831204352
1981-03-16,38.16,23.71,30.38,3.37,0.0,,2.49,98.37,,36.288186286393135,258.1077831204352
1981-03-17,38.38,25.5,31.35,1.8,0.0,,3.84,98.22,,36.37497087934104,258.1077831204352
1981-03-18,39.73,23.95,31.01,-3.58,0.0,,3.11,97.99,,36.46001204086659,258.1077831204352
1981-03-19,37.83,23.78,30.34,0.39,0.0,,2.04,97.98,,36.543274722266766,258.1077831204352
1981-03-20,39.37,22.64,31.12,2.19,0.0,,2.53,98.1,,36.624726113775694,258.1077831204352
1981-03-21,40.7,22.97,31.75,-0.01,0.0,,3.92,98.12,,36.70433566859312,258.1077831204352
1981-03-22,38.54,24.19,30.96,0.83,0.0,,5.51,98.04,,36.78207512369158,258.1077831204352
1981-03-23,39.61,23.76,31.2,-2.32,0.0,,3.47,97.91,,36.85791851736885,258.1077831204352
1981-03-24,39.51,23.09,31.15,-2.5,0.0,,1.54,97.92,,36.93184220351823,258.1077831204352
1981-03-25,39.41,23.43,32.15,2.41,0.0,,1.39,98.05,,37.00382486259634,258.1077831204352
1981-03-26,38.51,26.17,32.27,14.25,0.06,,2.16,98.09,,37.07384750927423,258.1077831204352
1981-03-27,37.55,25.08,31.23,13.38,0.05,,1.29,98.11,,37.14189349676432,258.1077831204352
1981-03-28,39.81,23.9,31.61,5.79,0.0,,2.05,98.03,,37.20794851782223,258.1077831204352
1981-03-29,40.28,23.3,31.5,6.86,0.0,,2.81,98.09,,37.27200060242913,258.1077831204352
