MinTemp,MaxTemp,Precipitation,ReferenceET,Date
9.41,14.18,1.11,,1981-01-01
10.58,13.65,2.88,,1981-01-02
8.03,12.03,0.94,,1981-01-03
11.43,14.66,0.2,,1981-01-04
10.03,16.38,0.39,,1981-01-05
7.58,12.63,0.85,,1981-01-06
9.16,12.41,6.09,,1981-01-07
4.26,8.12,4.31,,1981-01-08
4.32,6.74,0.6,,1981-01-09
4.14,10.88,0.06,,1981-01-10
2.58,14.17,0.0,,1981-01-11
5.44,11.38,0.0,,1981-01-12
5.02,8.96,4.97,,1981-01-13
3.87,10.1,5.77,,1981-01-14
7.76,13.81,1.15,,1981-01-15
9.28,13.66,3.61,,1981-01-16
8.3,15.44,0.23,,1981-01-17
9.77,14.2,2.2,,1981-01-18
9.16,13.36,2.0,,1981-01-19
10.12,15.27,3.64,,1981-01-20
9.89,12.21,1.18,,1981-01-21
9.02,11.53,0.55,,1981-01-22
8.65,12.34,0.57,,1981-01-23
8.28,12.78,0.81,,1981-01-24
7.22,15.11,0.25,,1981-01-25
7.54,14.93,0.03,,1981-01-26
7.38,13.76,0.83,,1981-01-27
5.64,11.38,1.51,,1981-01-28
6.23,10.75,0.15,,1981-01-29
5.64,9.29,1.26,,1981-01-30
5.63,12.56,0.06,,1981-01-31
6.89,13.17,0.47,,1981-02-01
7.61,12.83,0.21,,1981-02-02
5.25,11.58,1.77,,1981-02-03
6.4,15.88,0.04,,1981-02-04
8.07,11.69,3.22,,1981-02-05
9.48,14.17,1.42,,1981-02-06
7.79,14.63,0.05,,1981-02-07
7.05,14.93,0.09,,1981-02-08
5.1,20.91,0.0,,1981-02-09
7.05,19.95,0.0,,1981-02-10
7.65,18.29,0.03,,1981-02-11
8.83,15.14,0.22,,1981-02-12
8.71,18.35,1.64,,1981-02-13
8.45,11.82,1.63,,1981-02-14
5.28,14.04,0.0,,1981-02-15
5.24,17.66,1.75,,1981-02-16
8.32,13.74,5.08,,1981-02-17
6.41,11.92,0.77,,1981-02-18
5.58,12.93,0.78,,1981-02-19
6.05,14.08,0.69,,1981-02-20
6.9,10.31,4.09,,1981-02-21
6.77,11.2,1.57,,1981-02-22
6.76,13.39,0.98,,1981-02-23
5.88,14.28,0.01,,1981-02-24
4.81,15.35,0.08,,1981-02-25
6.39,14.45,0.01,,1981-02-26
5.32,16.12,0.02,,1981-02-27
8.42,22.26,0.01,,1981-02-28
10.1,22.59,0.0,,1981-03-01
11.07,21.19,0.1,,1981-03-02
9.45,20.07,0.14,,1981-03-03
9.31,17.98,0.01,,1981-03-04
7.86,16.91,0.0,,1981-03-05
7.31,14.79,0.06,,1981-03-06
7.64,16.8,0.01,,1981-03-07
8.58,17.46,0.01,,1981-03-08
8.5,19.71,0.0,,1981-03-09
7.67,19.39,0.04,,1981-03-10
8.28,21.58,0.0,,1981-03-11
11.84,24.58,0.0,,1981-03-12
13.25,22.17,0.0,,1981-03-13
10.03,18.61,3.84,,1981-03-14
9.95,20.62,1.05,,1981-03-15
10.57,18.58,0.05,,1981-03-16
8.99,17.91,1.31,,1981-03-17
7.97,13.23,6.69,,1981-03-18
8.4,14.22,2.18,,1981-03-19
6.26,17.89,0.0,,1981-03-20
8.46,18.68,0.06,,1981-03-21
9.09,19.09,1.86,,1981-03-22
9.65,18.57,1.24,,1981-03-23
8.16,20.65,0.02,,1981-03-24
10.78,24.76,0.0,,1981-03-25
11.85,27.87,0.0,,1981-03-26
12.37,23.71,0.05,,1981-03-27
11.57,25.5,0.15,,1981-03-28
12.18,28.36,0.01,,1981-03-29
12.67,23.58,0.18,,1981-03-30
12.04,14.87,9.53,,1981-03-31
9.61,17.79,2.81,,1981-04-01
10.39,20.41,0.02,,1981-04-02
10.29,24.28,0.01,,1981-04-03
10.96,19.17,0.14,,1981-04-04
9.9,18.38,1.69,,1981-04-05
9.61,23.11,0.0,,1981-04-06
11.32,25.44,0.0,,1981-04-07
13.64,29.82,0.0,,1981-04-08
13.76,25.85,0.05,,1981-04-09
13.07,24.44,0.01,,1981-04-10
12.39,25.99,0.0,,1981-04-11
14.16,24.28,0.01,,1981-04-12
12.53,21.24,0.08,,1981-04-13
11.31,22.37,0.0,,1981-04-14
11.83,23.12,0.01,,1981-04-15
13.73,24.1,11.96,,1981-04-16
12.23,20.65,0.75,,1981-04-17
13.03,19.03,10.14,,1981-04-18
12.18,21.56,0.48,,1981-04-19
13.3,20.88,8.42,,1981-04-20
12.57,22.14,0.33,,1981-04-21
14.18,22.07,0.06,,1981-04-22
14.07,23.6,0.46,,1981-04-23
12.96,24.78,0.07,,1981-04-24
11.67,26.53,0.0,,1981-04-25
13.27,21.0,0.14,,1981-04-26
9.93,21.36,0.01,,1981-04-27
10.76,26.12,0.0,,1981-04-28
13.36,23.19,0.0,,1981-04-29
13.03,25.36,0.04,,1981-04-30
14.14,23.54,6.79,,1981-05-01
13.01,20.5,1.26,,1981-05-02
12.32,24.64,6.5,,1981-05-03
12.9,21.61,0.27,,1981-05-04
12.21,20.48,0.11,,1981-05-05
13.07,22.51,0.0,,1981-05-06
