Date,T2M_MAX,T2M_MIN,T2M,T2MDEW,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,PS,ReferenceET,Ra,EstimatedElevation_m
1981-01-01,14.18,9.41,11.48,7.55,1.11,,6.16,101.7,,15.810526234690006,27.166192679683295
1981-01-02,13.65,10.58,11.66,6.88,2.88,,7.12,101.47,,15.86553303969309,27.166192679683295
1981-01-03,12.03,8.03,10.66,7.29,0.94,,5.15,101.69,,15.924932876519556,27.166192679683295
1981-01-04,14.66,11.43,12.61,8.36,0.2,,5.9,101.08,,15.98871001409538,27.166192679683295
1981-01-05,16.38,10.03,12.51,8.04,0.39,,7.12,100.93,,16.056847325996554,27.166192679683295
1981-01-06,12.63,7.58,10.72,4.94,0.85,,6.73,101.45,,16.129326268334278,27.166192679683295
1981-01-07,12.41,9.16,10.71,5.67,6.09,,7.83,100.81,,16.206126857024575,27.166192679683295
1981-01-08,8.12,4.26,5.71,-0.32,4.31,,8.6,101.27,,16.28722764459739,27.166192679683295
1981-01-09,6.74,4.32,5.68,-0.14,0.6,,6.82,101.69,,16.3726056967056,27.166192679683295
1981-01-10,10.88,4.14,6.97,0.65,0.06,,3.05,101.22,,16.462236568497605,27.166192679683295
1981-01-11,14.17,2.58,7.78,2.73,0.0,,3.41,100.9,,16.556094281020098,27.166192679683295
1981-01-12,11.38,5.44,7.79,2.68,0.0,,3.19,100.98,,16.654151297819794,27.166192679683295
1981-01-13,8.96,5.02,6.68,4.11,4.97,,2.97,100.06,,16.75637850191353,27.166192679683295
1981-01-14,10.1,3.87,7.07,4.48,5.77,,5.83,100.31,,16.862745173296517,27.166192679683295
1981-01-15,13.81,7.76,10.93,6.88,1.15,,7.9,100.38,,16.973218967157695,27.166192679683295
1981-01-16,13.66,9.28,11.79,5.66,3.61,,9.1,100.37,,17.08776589296955,27.166192679683295
1981-01-17,15.44,8.3,11.29,7.8,0.23,,4.61,101.18,,17.20635029461732,27.166192679683295
1981-01-18,14.2,9.77,11.4,6.97,2.2,,6.9,101.1,,17.328934831729327,27.166192679683295
1981-01-19,13.36,9.16,10.99,6.75,2.0,,6.46,101.45,,17.455480462366314,27.166192679683295
1981-01-20,15.27,10.12,12.46,9.33,3.64,,8.38,100.4,,17.585946427222822,27.166192679683295
1981-01-21,12.21,9.89,11.03,1.23,1.18,,11.15,100.16,,17.720290235488555,27.166192679683295
1981-01-22,11.53,9.02,9.89,2.32,0.55,,8.01,100.73,,17.858467652511656,27.166192679683295
1981-01-23,12.34,8.65,9.69,5.24,0.57,,4.74,101.09,,18.00043268939928,27.166192679683295
1981-01-24,12.78,8.28,10.33,6.85,0.81,,3.47,101.47,,18.14613759468396,27.166192679683295
1981-01-25,15.11,7.22,10.74,7.15,0.25,,4.4,101.76,,18.295532848176606,27.166192679683295
1981-01-26,14.93,7.54,11.07,6.87,0.03,,4.68,101.8,,18.44856715711927,27.166192679683295
1981-01-27,13.76,7.38,10.88,5.51,0.83,,3.68,102.26,,18.605187454742282,27.166192679683295
1981-01-28,11.38,5.64,8.41,2.08,1.51,,4.1,102.25,,18.76533890132199,27.166192679683295
1981-01-29,10.75,6.23,7.71,0.52,0.15,,4.79,102.13,,18.9289648878262,27.166192679683295
1981-01-30,9.29,5.64,7.04,3.28,1.26,,2.82,102.12,,19.096007042225388,27.166192679683295
1981-01-31,12.56,5.63,8.39,3.4,0.06,,2.74,102.43,,19.266405238538383,27.166192679683295
1981-02-01,13.17,6.89,9.31,5.69,0.47,,1.92,102.58,,19.440097608671817,27.166192679683295
1981-02-02,12.83,7.61,9.57,5.89,0.21,,1.62,102.62,,19.61702055710279,27.166192679683295
1981-02-03,11.58,5.25,8.66,5.7,1.77,,3.38,102.1,,19.797108778444855,27.166192679683295
1981-02-04,15.88,6.4,10.45,4.68,0.04,,3.78,100.85,,19.980295277927382,27.166192679683295
1981-02-05,11.69,8.07,9.86,5.33,3.22,,7.51,100.09,,20.1665113948089,27.166192679683295
1981-02-06,14.17,9.48,11.29,4.71,1.42,,7.49,101.12,,20.35568682873525,27.166192679683295
1981-02-07,14.63,7.79,10.56,6.51,0.05,,3.86,102.0,,20.54774966904369,27.166192679683295
1981-02-08,14.93,7.05,10.27,7.51,0.09,,2.66,102.2,,20.742626427004684,27.166192679683295
1981-02-09,20.91,5.1,11.73,7.11,0.0,,1.68,101.63,,20.94024207098366,27.166192679683295
1981-02-10,19.95,7.05,12.28,7.36,0.0,,1.76,101.31,,21.140520064495842,27.166192679683295
1981-02-11,18.29,7.65,11.68,7.83,0.03,,1.76,101.12,,21.343382407118,27.166192679683295
1981-02-12,15.14,8.83,11.31,9.07,0.22,,1.49,100.65,,21.54874967821233,27.166192679683295
1981-02-13,18.35,8.71,12.39,9.64,1.64,,2.52,100.11,,21.75654108340891,27.166192679683295
1981-02-14,11.82,8.45,10.06,8.44,1.63,,2.65,100.77,,21.966674503784517,27.166192679683295
1981-02-15,14.04,5.28,9.28,3.21,0.0,,2.21,101.31,,22.179066547667958,27.166192679683295
1981-02-16,17.66,5.24,11.04,6.71,1.75,,4.02,100.67,,22.393632604993687,27.166192679683295
1981-02-17,13.74,8.32,10.94,8.32,5.08,,3.5,100.38,,22.610286904117867,27.166192679683295
1981-02-18,11.92,6.41,8.77,5.3,0.77,,2.5,100.65,,22.828942571004283,27.166192679683295
1981-02-19,12.93,5.58,8.71,5.73,0.78,,2.81,100.56,,23.04951169067974,27.166192679683295
1981-02-20,14.08,6.05,9.75,5.69,0.69,,2.77,100.5,,23.271905370852554,27.166192679683295
1981-02-21,10.31,6.9,8.4,6.8,4.09,,3.25,100.5,,23.4960338075811,27.166192679683295
1981-02-22,11.2,6.77,8.9,4.92,1.57,,5.38,100.73,,23.721806352873365,27.166192679683295
1981-02-23,13.39,6.76,9.62,5.61,0.98,,3.77,101.05,,23.949131584093255,27.166192679683295
1981-02-24,14.28,5.88,9.89,4.27,0.01,,2.13,101.39,,24.177917375043556,27.166192679683295
1981-02-25,15.35,4.81,9.47,5.82,0.08,,3.73,101.36,,24.408070968591147,27.166192679683295
1981-02-26,14.45,6.39,9.61,3.61,0.01,,4.3,101.4,,24.639499050695296,27.166192679683295
1981-02-27,16.12,5.32,10.64,4.44,0.02,,2.09,101.12,,24.872107825695874,27.166192679683295
1981-02-28,22.26,8.42,14.35,9.35,0.01,,2.28,100.7,,25.10580309271468,27.166192679683295
1981-03-01,22.59,10.1,15.16,10.2,0.0,,1.85,100.78,,25.34049032301976,27.166192679683295
1981-03-02,21.19,11.07,15.28,11.02,0.1,,1.59,100.75,,25.576074738199917,27.166192679683295
1981-03-03,20.07,9.45,14.01,11.03,0.14,,1.94,100.56,,25.812461388993913,27.166192679683295
1981-03-04,17.98,9.31,12.71,8.19,0.01,,2.95,100.41,,26.04955523461711,27.166192679683295
1981-03-05,16.91,7.86,11.73,6.07,0.0,,2.44,101.18,,26.28726122242665,27.166192679683295
1981-03-06,14.79,7.31,10.51,7.5,0.06,,1.55,101.41,,26.525484367765102,27.166192679683295
1981-03-07,16.8,7.64,11.59,8.26,0.01,,2.21,101.64,,26.7641298338218,27.166192679683295
1981-03-08,17.46,8.58,12.24,8.98,0.01,,1.79,102.0,,27.0031030113508,27.166192679683295
1981-03-09,19.71,8.5,12.92,8.92,0.0,,1.66,101.87,,27.24230959808468,27.166192679683295
1981-03-10,19.39,7.67,12.86,8.6,0.04,,2.48,101.84,,27.481655677683705,27.166192679683295
1981-03-11,21.58,8.28,14.44,9.23,0.0,,2.23,101.55,,27.721047798061186,27.166192679683295
1981-03-12,24.58,11.84,17.46,11.12,0.0,,3.37,100.82,,27.960393048927084,27.166192679683295
1981-03-13,22.17,13.25,16.78,11.53,0.0,,3.6,100.65,,28.199599138393932,27.166192679683295
1981-03-14,18.61,10.03,13.4,8.84,3.84,,2.59,100.79,,28.438574468491115,27.166192679683295
1981-03-15,20.62,9.95,13.87,11.01,1.05,,3.08,100.54,,28.677228209436876,27.166192679683295
1981-03-16,18.58,10.57,13.55,9.06,0.05,,2.49,100.88,,28.91547037251958,27.166192679683295
1981-03-17,17.91,8.99,12.21,7.34,1.31,,2.51,100.51,,29.153211881444165,27.166192679683295
1981-03-18,13.23,7.97,10.52,5.45,6.69,,7.59,100.07,,29.39036464200291,27.166192679683295
1981-03-19,14.22,8.4,11.13,3.8,2.18,,8.11,100.4,,29.626841609934342,27.166192679683295
1981-03-20,17.89,6.26,11.38,5.9,0.0,,1.83,100.8,,29.862556856838406,27.166192679683295
1981-03-21,18.68,8.46,12.65,8.77,0.06,,1.84,101.02,,30.097425634021278,27.166192679683295
1981-03-22,19.09,9.09,13.95,10.07,1.86,,3.26,100.86,,30.331364434148135,27.166192679683295
1981-03-23,18.57,9.65,13.65,9.77,1.24,,3.86,101.07,,30.564291050588455,27.166192679683295
1981-03-24,20.65,8.16,14.12,10.2,0.02,,3.01,101.41,,30.7961246343435,27.166192679683295
1981-03-25,24.76,10.78,16.94,10.71,0.0,,2.06,101.28,,31.026785748452767,27.166192679683295
1981-03-26,27.87,11.85,17.93,11.52,0.0,,2.86,100.96,,31.256196419782107,27.166192679683295
1981-03-27,23.71,12.37,16.79,11.26,0.05,,2.3,100.76,,31.48428018810328,27.166192679683295
1981-03-28,25.5,11.57,16.99,11.95,0.15,,1.4,100.45,,31.710962152381605,27.166192679683295
1981-03-29,28.36,12.18,18.86,12.35,0.01,,3.03,100.19,,31.936169014195812,27.166192679683295
1981-03-30,23.58,12.67,16.3,12.43,0.18,,2.8,99.94,,32.1598291182212,27.166192679683295
1981-03-31,14.87,12.04,13.09,9.98,9.53,,3.89,99.69,,32.38187248971558,27.166192679683295
1981-04-01,17.79,9.61,13.52,8.87,2.81,,4.41,100.23,,32.602230868954535,27.166192679683295
1981-04-02,20.41,10.39,14.88,8.39,0.02,,3.15,100.59,,32.82083774257069,27.166192679683295
1981-04-03,24.28,10.29,16.28,9.66,0.01,,3.66,100.7,,33.037628371760015,27.166192679683295
1981-04-04,19.17,10.96,14.71,11.15,0.14,,3.27,100.99,,33.252539817325896,27.166192679683295
1981-04-05,18.38,9.9,13.79,10.81,1.69,,2.84,101.09,,33.46551096154009,27.166192679683295
1981-04-06,23.11,9.61,15.66,9.25,0.0,,3.04,101.21,,33.67648252680779,27.166192679683295
1981-04-07,25.44,11.32,17.88,10.84,0.0,,3.76,101.32,,33.88539709113249,27.166192679683295
1981-04-08,29.82,13.64,20.1,12.15,0.0,,2.79,101.43,,34.09219910038427,27.166192679683295
1981-04-09,25.85,13.76,18.93,12.02,0.05,,2.39,101.43,,34.29683487738344,27.166192679683295
1981-04-10,24.44,13.07,17.5,12.23,0.01,,2.13,101.27,,34.499252627819715,27.166192679683295
1981-04-11,25.99,12.39,18.67,12.38,0.0,,1.96,100.81,,34.69940244303493,27.166192679683295
1981-04-12,24.28,14.16,18.41,12.42,0.01,,2.45,100.76,,34.897236299705334,27.166192679683295
1981-04-13,21.24,12.53,16.39,10.98,0.08,,3.55,101.17,,35.09270805646734,27.166192679683295
1981-04-14,22.37,11.31,16.55,9.8,0.0,,2.89,101.38,,35.28577344753805,27.166192679683295
